r;pooled;pooled_lb;pooled_ub;published_after_2018;published_after_2018_lb;published_after_2018_ub;published_before_2018;published_before_2018_lb;published_before_2018_ub;with_matching;with_matching_lb;with_matching_ub;without_matching;without_matching_lb;without_matching_ub;single_center;single_center_lb;single_center_ub;multicenter;multicenter_lb;multicenter_ub;robins_low;robins_low_lb;robins_low_ub;robins_moderate;robins_moderate_lb;robins_moderate_ub;robins_serious;robins_serious_lb;robins_serious_ub
-0.99;-0.024;-0.036;-0.011;-0.029;-0.048;-0.009;-0.017;-0.035;0;-0.021;-0.044;0.002;-0.025;-0.04;-0.01;-0.019;-0.037;-0.001;-0.033;-0.051;-0.015;-0.027;-0.046;-0.009;-0.017;-0.038;0.005;-0.032;-0.069;0.006
-0.9;-0.023;-0.036;-0.01;-0.028;-0.047;-0.009;-0.017;-0.035;0.001;-0.02;-0.043;0.003;-0.025;-0.039;-0.01;-0.019;-0.036;-0.001;-0.032;-0.049;-0.015;-0.027;-0.045;-0.008;-0.016;-0.037;0.005;-0.031;-0.068;0.006
-0.8;-0.023;-0.035;-0.01;-0.028;-0.047;-0.009;-0.017;-0.034;0.001;-0.02;-0.042;0.003;-0.024;-0.039;-0.01;-0.018;-0.035;-0.001;-0.032;-0.049;-0.014;-0.027;-0.045;-0.008;-0.016;-0.036;0.005;-0.03;-0.067;0.006
-0.7;-0.022;-0.035;-0.01;-0.027;-0.046;-0.009;-0.016;-0.034;0.001;-0.019;-0.042;0.003;-0.024;-0.038;-0.01;-0.018;-0.035;-0.001;-0.031;-0.048;-0.014;-0.026;-0.044;-0.008;-0.015;-0.036;0.005;-0.029;-0.066;0.007
-0.6;-0.022;-0.034;-0.009;-0.027;-0.045;-0.008;-0.016;-0.033;0.001;-0.019;-0.041;0.003;-0.023;-0.037;-0.009;-0.018;-0.034;-0.001;-0.03;-0.047;-0.013;-0.026;-0.044;-0.008;-0.015;-0.035;0.005;-0.029;-0.064;0.007
-0.5;-0.021;-0.033;-0.009;-0.026;-0.044;-0.008;-0.016;-0.033;0.001;-0.018;-0.04;0.004;-0.023;-0.037;-0.009;-0.017;-0.034;-0.001;-0.03;-0.047;-0.013;-0.025;-0.043;-0.008;-0.014;-0.034;0.005;-0.028;-0.063;0.007
-0.4;-0.021;-0.033;-0.009;-0.025;-0.043;-0.008;-0.016;-0.032;0.001;-0.018;-0.039;0.004;-0.023;-0.036;-0.009;-0.017;-0.033;-0.001;-0.029;-0.046;-0.012;-0.025;-0.043;-0.007;-0.014;-0.033;0.005;-0.027;-0.062;0.007
-0.3;-0.02;-0.032;-0.009;-0.025;-0.042;-0.007;-0.016;-0.032;0.001;-0.017;-0.039;0.004;-0.022;-0.036;-0.009;-0.016;-0.032;-0.001;-0.028;-0.045;-0.012;-0.025;-0.042;-0.007;-0.014;-0.032;0.005;-0.027;-0.061;0.007
-0.2;-0.02;-0.032;-0.008;-0.024;-0.041;-0.007;-0.015;-0.031;0.001;-0.017;-0.038;0.004;-0.022;-0.035;-0.009;-0.016;-0.032;0;-0.028;-0.044;-0.011;-0.024;-0.042;-0.007;-0.013;-0.032;0.005;-0.026;-0.059;0.008
-0.1;-0.02;-0.031;-0.008;-0.024;-0.041;-0.007;-0.015;-0.031;0.001;-0.016;-0.037;0.005;-0.022;-0.035;-0.009;-0.016;-0.031;-0.001;-0.027;-0.043;-0.011;-0.024;-0.041;-0.007;-0.013;-0.031;0.005;-0.026;-0.059;0.008
0;-0.019;-0.03;-0.008;-0.023;-0.04;-0.006;-0.015;-0.031;0.001;-0.016;-0.036;0.005;-0.021;-0.034;-0.009;-0.015;-0.031;0;-0.027;-0.043;-0.011;-0.024;-0.041;-0.006;-0.013;-0.03;0.005;-0.025;-0.057;0.008
0.1;-0.019;-0.03;-0.008;-0.022;-0.039;-0.006;-0.015;-0.03;0.001;-0.015;-0.036;0.005;-0.021;-0.033;-0.008;-0.015;-0.03;0;-0.026;-0.042;-0.01;-0.023;-0.04;-0.006;-0.012;-0.03;0.005;-0.024;-0.056;0.008
0.2;-0.018;-0.029;-0.007;-0.022;-0.038;-0.006;-0.014;-0.03;0.002;-0.015;-0.035;0.006;-0.021;-0.033;-0.008;-0.015;-0.03;0;-0.025;-0.041;-0.01;-0.023;-0.04;-0.006;-0.012;-0.029;0.005;-0.023;-0.055;0.008
0.3;-0.018;-0.029;-0.007;-0.021;-0.037;-0.005;-0.014;-0.03;0.002;-0.014;-0.034;0.006;-0.02;-0.032;-0.008;-0.014;-0.029;0;-0.025;-0.04;-0.009;-0.022;-0.039;-0.006;-0.011;-0.028;0.006;-0.023;-0.054;0.009
0.4;-0.017;-0.028;-0.007;-0.021;-0.036;-0.005;-0.014;-0.029;0.002;-0.014;-0.034;0.006;-0.02;-0.032;-0.008;-0.014;-0.029;0;-0.024;-0.039;-0.009;-0.022;-0.039;-0.005;-0.011;-0.028;0.006;-0.022;-0.053;0.009
0.5;-0.017;-0.028;-0.006;-0.02;-0.035;-0.005;-0.013;-0.029;0.002;-0.013;-0.033;0.007;-0.02;-0.031;-0.008;-0.014;-0.028;0;-0.023;-0.039;-0.008;-0.021;-0.038;-0.005;-0.011;-0.027;0.006;-0.021;-0.052;0.009
0.6;-0.017;-0.027;-0.006;-0.019;-0.035;-0.004;-0.013;-0.028;0.002;-0.013;-0.032;0.007;-0.019;-0.031;-0.008;-0.013;-0.027;0.001;-0.023;-0.038;-0.008;-0.021;-0.038;-0.005;-0.01;-0.026;0.006;-0.021;-0.051;0.009
0.7;-0.016;-0.026;-0.006;-0.019;-0.034;-0.004;-0.013;-0.028;0.002;-0.012;-0.031;0.007;-0.019;-0.03;-0.007;-0.013;-0.027;0.001;-0.022;-0.037;-0.007;-0.021;-0.037;-0.005;-0.01;-0.026;0.006;-0.02;-0.049;0.009
0.8;-0.016;-0.026;-0.005;-0.018;-0.033;-0.004;-0.013;-0.028;0.002;-0.012;-0.031;0.007;-0.018;-0.03;-0.007;-0.013;-0.027;0.001;-0.021;-0.036;-0.007;-0.021;-0.037;-0.004;-0.009;-0.025;0.006;-0.019;-0.048;0.01
0.9;-0.015;-0.025;-0.005;-0.018;-0.032;-0.003;-0.012;-0.027;0.003;-0.011;-0.03;0.008;-0.018;-0.03;-0.007;-0.013;-0.026;0.001;-0.021;-0.036;-0.006;-0.02;-0.036;-0.004;-0.009;-0.024;0.006;-0.019;-0.047;0.01
0.99;-0.015;-0.025;-0.005;-0.017;-0.031;-0.003;-0.012;-0.027;0.003;-0.011;-0.029;0.008;-0.018;-0.029;-0.007;-0.012;-0.026;0.001;-0.02;-0.035;-0.006;-0.02;-0.036;-0.004;-0.008;-0.024;0.007;-0.018;-0.046;0.01
